review_text,date,category,rating,helpful_votes
Will definitely buy from this seller again.,2024-08-12,Electronics,1,8
Terrible customer service.,2024-01-30,Office Supplies,3,18
Terrible customer service.,2024-07-01,Health & Beauty,5,18
The worst product I have ever bought.,2024-01-30,Books,4,14
This product exceeded my expectations!,2024-07-09,Health & Beauty,3,20
The worst product I have ever bought.,2024-08-03,Books,5,8
The item arrived late and was damaged.,2024-08-01,Office Supplies,1,16
Will definitely buy from this seller again.,2024-05-24,Sports,2,7
The worst product I have ever bought.,2023-11-09,Office Supplies,5,6
I am very happy with this purchase.,2024-06-06,Health & Beauty,4,20
Not worth the money. Very disappointed.,2024-02-18,Electronics,3,16
Not worth the money. Very disappointed.,2023-10-06,Sports,3,2
Excellent value for money.,2023-10-04,Home & Garden,2,11
The item arrived late and was damaged.,2023-11-23,Electronics,3,9
"Great quality, will buy again.",2023-12-22,Books,5,1
Fantastic! Highly recommend.,2023-10-21,Books,3,2
I am very happy with this purchase.,2023-12-13,Automotive,4,12
Fantastic! Highly recommend.,2023-09-02,Sports,3,11
Excellent value for money.,2023-11-21,Toys,1,19
The worst product I have ever bought.,2023-08-21,Home & Garden,2,9
I am very happy with this purchase.,2024-05-26,Sports,5,17
Will definitely buy from this seller again.,2023-10-23,Clothing,4,9
The item arrived late and was damaged.,2023-10-12,Health & Beauty,4,18
Not worth the money. Very disappointed.,2024-07-22,Automotive,5,2
The worst product I have ever bought.,2024-05-05,Clothing,3,6
Will definitely buy from this seller again.,2024-02-05,Office Supplies,1,5
I am very happy with this purchase.,2024-03-16,Electronics,2,14
Excellent value for money.,2023-09-28,Books,3,2
Will definitely buy from this seller again.,2023-10-29,Home & Garden,1,9
The item arrived late and was damaged.,2024-07-04,Health & Beauty,5,1
I am very happy with this purchase.,2024-03-21,Home & Garden,5,11
Will definitely buy from this seller again.,2024-02-02,Office Supplies,5,18
The item arrived late and was damaged.,2024-07-20,Electronics,4,10
Terrible customer service.,2024-05-09,Sports,3,19
Terrible customer service.,2024-03-17,Clothing,1,7
Terrible customer service.,2024-05-29,Health & Beauty,3,2
Will definitely buy from this seller again.,2024-03-22,Automotive,3,10
"Great quality, will buy again.",2023-11-13,Health & Beauty,3,9
I am very happy with this purchase.,2023-10-28,Clothing,4,19
The item arrived late and was damaged.,2023-09-14,Home & Garden,4,1
This product exceeded my expectations!,2024-03-29,Books,5,0
"Great quality, will buy again.",2023-11-05,Clothing,4,13
The item arrived late and was damaged.,2024-07-02,Books,1,12
Not worth the money. Very disappointed.,2023-12-17,Automotive,5,13
This product exceeded my expectations!,2023-10-16,Electronics,1,19
Not worth the money. Very disappointed.,2024-07-26,Clothing,2,18
I am very happy with this purchase.,2024-06-17,Home & Garden,5,18
This product exceeded my expectations!,2023-10-19,Electronics,3,12
Excellent value for money.,2024-03-02,Electronics,5,14
Excellent value for money.,2023-11-19,Health & Beauty,5,12
The item arrived late and was damaged.,2024-01-14,Home & Garden,3,13
Fantastic! Highly recommend.,2024-06-16,Books,1,8
Fantastic! Highly recommend.,2024-05-21,Office Supplies,2,10
I am very happy with this purchase.,2023-11-29,Home & Garden,2,4
This product exceeded my expectations!,2024-03-14,Automotive,5,1
The item arrived late and was damaged.,2023-09-12,Toys,2,15
Not worth the money. Very disappointed.,2024-07-24,Books,1,6
I am very happy with this purchase.,2024-02-13,Clothing,2,17
"Great quality, will buy again.",2023-08-24,Health & Beauty,2,19
This product exceeded my expectations!,2024-05-25,Sports,2,11
"Great quality, will buy again.",2024-06-09,Books,4,9
I am very happy with this purchase.,2024-04-25,Clothing,1,6
This product exceeded my expectations!,2024-08-05,Sports,5,10
Fantastic! Highly recommend.,2023-12-05,Electronics,3,2
I am very happy with this purchase.,2023-09-28,Office Supplies,1,19
This product exceeded my expectations!,2023-10-02,Clothing,1,16
This product exceeded my expectations!,2024-02-14,Books,4,19
"Great quality, will buy again.",2023-09-05,Electronics,2,7
Fantastic! Highly recommend.,2024-03-01,Books,5,10
Fantastic! Highly recommend.,2023-08-20,Home & Garden,3,14
The worst product I have ever bought.,2023-09-11,Sports,1,12
The worst product I have ever bought.,2024-02-10,Toys,5,18
Will definitely buy from this seller again.,2024-04-13,Electronics,4,19
Terrible customer service.,2024-07-10,Books,1,2
Fantastic! Highly recommend.,2024-01-23,Office Supplies,5,15
Terrible customer service.,2024-05-13,Books,5,17
The worst product I have ever bought.,2023-09-26,Electronics,4,14
I am very happy with this purchase.,2024-01-15,Office Supplies,5,6
The item arrived late and was damaged.,2024-03-15,Sports,2,13
I am very happy with this purchase.,2024-07-16,Home & Garden,3,16
I am very happy with this purchase.,2023-10-04,Clothing,4,14
Not worth the money. Very disappointed.,2024-01-30,Health & Beauty,4,6
"Great quality, will buy again.",2023-10-29,Clothing,1,4
"Great quality, will buy again.",2024-02-11,Home & Garden,1,10
The worst product I have ever bought.,2023-09-05,Books,2,15
Fantastic! Highly recommend.,2023-10-27,Office Supplies,2,0
"Great quality, will buy again.",2024-04-02,Books,1,10
"Great quality, will buy again.",2024-07-30,Sports,5,2
This product exceeded my expectations!,2024-02-03,Books,1,3
I am very happy with this purchase.,2023-12-11,Toys,3,12
"Great quality, will buy again.",2023-10-01,Automotive,1,2
The item arrived late and was damaged.,2023-12-16,Electronics,4,0
"Great quality, will buy again.",2023-12-14,Electronics,5,5
Will definitely buy from this seller again.,2024-03-22,Automotive,4,17
Terrible customer service.,2024-01-08,Health & Beauty,5,15
I am very happy with this purchase.,2024-07-23,Toys,2,4
Will definitely buy from this seller again.,2024-07-18,Electronics,5,16
Excellent value for money.,2024-08-07,Toys,5,8
Not worth the money. Very disappointed.,2024-02-11,Automotive,1,19
The item arrived late and was damaged.,2024-02-08,Office Supplies,3,3
I am very happy with this purchase.,2023-11-05,Books,3,8
The worst product I have ever bought.,2024-07-14,Office Supplies,5,4
I am very happy with this purchase.,2024-03-09,Automotive,3,7
Terrible customer service.,2024-01-27,Automotive,2,0
The item arrived late and was damaged.,2023-09-01,Toys,5,16
"Great quality, will buy again.",2023-10-01,Toys,5,15
Will definitely buy from this seller again.,2024-01-07,Electronics,3,17
Excellent value for money.,2024-06-08,Automotive,3,12
This product exceeded my expectations!,2023-12-17,Electronics,5,18
I am very happy with this purchase.,2024-04-06,Automotive,1,18
Fantastic! Highly recommend.,2023-12-31,Office Supplies,3,6
"Great quality, will buy again.",2023-11-09,Sports,3,3
I am very happy with this purchase.,2024-05-11,Toys,5,2
I am very happy with this purchase.,2023-11-10,Clothing,5,5
Excellent value for money.,2023-09-22,Sports,1,18
I am very happy with this purchase.,2023-12-06,Toys,5,1
The item arrived late and was damaged.,2024-02-21,Clothing,4,14
This product exceeded my expectations!,2023-10-17,Toys,5,9
"Great quality, will buy again.",2023-09-16,Home & Garden,4,13
The item arrived late and was damaged.,2023-09-18,Sports,1,13
Excellent value for money.,2024-05-19,Electronics,5,20
Will definitely buy from this seller again.,2023-11-28,Electronics,3,19
The item arrived late and was damaged.,2023-12-11,Electronics,1,6
I am very happy with this purchase.,2024-02-11,Sports,4,0
I am very happy with this purchase.,2023-12-06,Office Supplies,4,17
Will definitely buy from this seller again.,2023-11-26,Clothing,5,17
Will definitely buy from this seller again.,2023-12-29,Sports,4,2
The worst product I have ever bought.,2023-11-17,Sports,4,20
Will definitely buy from this seller again.,2024-01-03,Sports,4,15
The worst product I have ever bought.,2024-03-13,Home & Garden,2,7
Excellent value for money.,2023-08-23,Automotive,4,12
The worst product I have ever bought.,2024-02-08,Health & Beauty,5,11
Excellent value for money.,2024-03-19,Office Supplies,4,11
Not worth the money. Very disappointed.,2024-06-25,Office Supplies,5,15
"Great quality, will buy again.",2023-08-31,Toys,3,2
The item arrived late and was damaged.,2024-07-29,Office Supplies,3,11
Fantastic! Highly recommend.,2023-11-19,Sports,4,20
The worst product I have ever bought.,2024-02-09,Electronics,1,18
This product exceeded my expectations!,2024-08-03,Books,1,6
Not worth the money. Very disappointed.,2024-08-06,Clothing,1,11
Fantastic! Highly recommend.,2023-10-01,Sports,3,12
I am very happy with this purchase.,2024-01-09,Automotive,1,7
Terrible customer service.,2024-06-20,Electronics,5,18
This product exceeded my expectations!,2023-11-09,Automotive,4,15
The worst product I have ever bought.,2024-02-08,Automotive,3,14
Not worth the money. Very disappointed.,2023-10-05,Office Supplies,5,8
I am very happy with this purchase.,2023-10-01,Health & Beauty,1,11
I am very happy with this purchase.,2024-04-11,Sports,2,8
Not worth the money. Very disappointed.,2024-02-17,Toys,4,3
Excellent value for money.,2023-12-18,Electronics,3,13
"Great quality, will buy again.",2023-10-03,Electronics,2,8
Excellent value for money.,2023-09-30,Automotive,2,1
Not worth the money. Very disappointed.,2024-07-20,Health & Beauty,3,11
The worst product I have ever bought.,2023-09-16,Toys,1,7
The worst product I have ever bought.,2023-11-13,Health & Beauty,1,4
The item arrived late and was damaged.,2023-09-09,Home & Garden,4,5
Will definitely buy from this seller again.,2023-12-23,Books,4,9
The worst product I have ever bought.,2024-01-01,Electronics,5,8
Terrible customer service.,2023-11-08,Electronics,4,4
Excellent value for money.,2024-02-01,Electronics,5,6
Will definitely buy from this seller again.,2024-02-14,Office Supplies,1,7
The item arrived late and was damaged.,2024-02-12,Health & Beauty,3,8
Terrible customer service.,2023-08-22,Books,3,16
Not worth the money. Very disappointed.,2024-07-15,Automotive,4,3
Will definitely buy from this seller again.,2024-07-01,Electronics,5,13
This product exceeded my expectations!,2024-02-07,Automotive,5,9
I am very happy with this purchase.,2024-04-16,Office Supplies,2,4
Terrible customer service.,2024-04-10,Books,1,3
This product exceeded my expectations!,2023-09-16,Books,3,11
The item arrived late and was damaged.,2023-12-10,Sports,3,18
"Great quality, will buy again.",2023-12-31,Health & Beauty,5,4
Not worth the money. Very disappointed.,2024-03-17,Sports,2,10
"Great quality, will buy again.",2023-12-27,Books,1,8
I am very happy with this purchase.,2024-05-20,Health & Beauty,1,5
Not worth the money. Very disappointed.,2024-02-20,Health & Beauty,5,0
Terrible customer service.,2023-10-24,Health & Beauty,3,3
I am very happy with this purchase.,2024-06-28,Office Supplies,1,4
This product exceeded my expectations!,2024-03-02,Health & Beauty,1,9
Not worth the money. Very disappointed.,2023-12-22,Toys,3,16
"Great quality, will buy again.",2023-09-01,Books,1,3
"Great quality, will buy again.",2024-08-07,Health & Beauty,2,5
Fantastic! Highly recommend.,2024-01-18,Books,4,17
Will definitely buy from this seller again.,2023-08-19,Clothing,5,3
Excellent value for money.,2024-07-08,Sports,2,0
"Great quality, will buy again.",2024-05-22,Books,1,14
Excellent value for money.,2023-10-25,Toys,5,5
I am very happy with this purchase.,2024-01-28,Clothing,4,13
Fantastic! Highly recommend.,2024-05-19,Books,1,13
The item arrived late and was damaged.,2024-01-12,Books,5,0
Terrible customer service.,2024-06-10,Books,5,19
The worst product I have ever bought.,2024-02-02,Home & Garden,3,0
This product exceeded my expectations!,2024-08-03,Clothing,3,19
The item arrived late and was damaged.,2023-11-11,Home & Garden,5,10
Terrible customer service.,2024-04-26,Electronics,3,15
Terrible customer service.,2023-12-26,Electronics,2,1
Not worth the money. Very disappointed.,2023-12-06,Toys,4,11
Terrible customer service.,2024-01-18,Automotive,5,17
This product exceeded my expectations!,2024-01-11,Toys,3,7
Will definitely buy from this seller again.,2024-06-27,Health & Beauty,4,19
I am very happy with this purchase.,2024-05-12,Office Supplies,4,9
Will definitely buy from this seller again.,2024-07-12,Clothing,4,3
"Great quality, will buy again.",2024-03-02,Clothing,5,9
This product exceeded my expectations!,2024-06-18,Sports,5,14
"Great quality, will buy again.",2024-02-29,Health & Beauty,3,7
Will definitely buy from this seller again.,2023-12-11,Books,5,20
The worst product I have ever bought.,2023-09-26,Electronics,2,16
"Great quality, will buy again.",2024-02-18,Sports,3,18
Not worth the money. Very disappointed.,2024-04-21,Home & Garden,1,17
Fantastic! Highly recommend.,2023-10-17,Electronics,4,18
I am very happy with this purchase.,2024-05-09,Toys,2,14
"Great quality, will buy again.",2023-11-11,Electronics,2,12
Will definitely buy from this seller again.,2023-12-26,Health & Beauty,4,20
This product exceeded my expectations!,2024-05-30,Books,2,4
This product exceeded my expectations!,2024-03-20,Health & Beauty,3,9
Not worth the money. Very disappointed.,2023-09-23,Books,4,6
I am very happy with this purchase.,2023-08-29,Office Supplies,1,15
"Great quality, will buy again.",2023-12-15,Books,2,11
The worst product I have ever bought.,2023-12-31,Office Supplies,1,4
Not worth the money. Very disappointed.,2023-12-03,Books,4,7
Excellent value for money.,2024-06-04,Automotive,4,14
The item arrived late and was damaged.,2023-10-18,Health & Beauty,4,15
The item arrived late and was damaged.,2024-06-23,Office Supplies,4,20
Terrible customer service.,2024-06-08,Books,1,9
Terrible customer service.,2023-11-02,Health & Beauty,4,3
Terrible customer service.,2024-03-16,Home & Garden,3,17
"Great quality, will buy again.",2024-06-19,Toys,1,9
This product exceeded my expectations!,2023-12-06,Electronics,1,6
Terrible customer service.,2023-10-08,Health & Beauty,1,16
Excellent value for money.,2023-08-28,Clothing,1,0
The item arrived late and was damaged.,2024-03-14,Home & Garden,5,14
Fantastic! Highly recommend.,2024-07-28,Toys,5,18
I am very happy with this purchase.,2023-09-19,Home & Garden,4,15
I am very happy with this purchase.,2024-08-06,Home & Garden,5,10
The worst product I have ever bought.,2023-11-01,Books,3,16
Excellent value for money.,2024-08-06,Automotive,5,12
This product exceeded my expectations!,2024-04-07,Office Supplies,4,17
Terrible customer service.,2024-03-15,Health & Beauty,3,5
Terrible customer service.,2024-06-15,Electronics,4,18
Will definitely buy from this seller again.,2023-12-18,Office Supplies,1,0
Fantastic! Highly recommend.,2023-08-20,Office Supplies,4,1
Terrible customer service.,2024-03-25,Sports,5,11
Will definitely buy from this seller again.,2024-07-27,Sports,2,19
Will definitely buy from this seller again.,2024-01-13,Toys,1,2
Will definitely buy from this seller again.,2023-10-10,Office Supplies,1,15
Terrible customer service.,2023-09-12,Sports,1,8
Excellent value for money.,2024-06-10,Automotive,4,20
